,Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,extras/pool_name
3400,11/8/19,9015,311313,827500,422027,1.27E+13,8.54E+19,0.173,5703108408,1.184,0.591,11.25,38576,406.871,642880,14.346,2.493,F2Pool
2844,5/1/18,9004,199801,557445,325491,4.02E+12,3.17E+19,0.571,5324993104,1.431,0.272,9.114,46114,510.358,528581,19.245,1.584,F2Pool
2803,3/21/18,9002,194694,575457,280585,3.46E+12,2.45E+19,0.708,6112161109,1.434,0.205,9.474,42996,629.759,466555,18.659,1.608,AntPool
3577,5/3/20,8973,281584,822519,417793,1.60E+13,1.29E+20,0.15,3671522570,1.825,1.071,8.571,23192,303.447,794461,14.805,2.657,Foundry USA
2791,3/9/18,8927,198034,903812,307386,3.29E+12,2.59E+19,0.64,7215713903,1.571,0.2,9.863,54349,726.92,710720,18.409,1.875,ViaBTC
2836,4/23/18,8925,226200,630214,331041,3.84E+12,3.01E+19,0.576,6695440726,1.15,0.161,9.412,43214,440.845,541616,19.004,1.501,Foundry USA
3402,11/10/19,8922,299546,616469,323636,1.27E+13,9.80E+19,0.191,2853814771,0.711,0.304,8.675,20351,131.915,512641,14.344,1.138,unknown
2835,4/22/18,8913,171710,455612,261505,3.84E+12,3.07E+19,0.586,4996867375,1.128,0.173,9,40411,446.971,426135,19.027,1.076,F2Pool
3471,1/18/20,8907,287105,677562,377583,1.48E+13,1.04E+20,0.143,3325346759,0.551,0.247,10.909,15636,187.098,518761,15.144,1.066,F2Pool
3579,5/5/20,8904,328917,858329,500452,1.61E+13,1.24E+20,0.148,4640569701,1.946,1.074,9.114,29486,410.796,802762,14.855,3.514,Foundry USA
2839,4/26/18,8894,216591,734112,328935,3.84E+12,2.57E+19,0.632,6581535538,2.776,1.348,10.213,43744,526.049,557031,19.347,3.695,Foundry USA
3574,4/30/20,8883,321837,898567,523530,1.60E+13,1.04E+20,0.154,8731451225,2.944,1.626,10.667,55772,571.162,769015,14.721,5.948,F2Pool
2806,3/24/18,8881,156931,483981,231638,3.46E+12,2.63E+19,0.665,4286879706,1.232,0.163,9.231,44331,575.69,410341,18.672,1.105,AntPool
3600,5/26/20,8872,295658,884803,481610,1.51E+13,8.82E+19,0.0861,4377785888,2.415,1.248,11.613,28565,443.576,718669,14.662,9.411,F2Pool
3470,1/17/20,8869,323833,680037,441716,1.48E+13,1.26E+20,0.141,6762835813,0.665,0.298,9.057,30527,285.598,607003,15.134,1.208,AntPool
3472,1/19/20,8859,283810,608059,368141,1.48E+13,1.01E+20,0.166,3266638547,0.516,0.201,9.6,19673,192.62,549520,15.143,0.874,F2Pool
3576,5/2/20,8854,286625,875150,437648,1.60E+13,1.21E+20,0.14,3397708590,2.108,1.328,9.73,16975,352.43,888955,14.829,3.559,Foundry USA
3401,11/9/19,8833,306019,762703,400046,1.27E+13,8.22E+19,0.196,4640163649,0.85,0.415,10,30200,260.953,644920,14.343,1.61,AntPool
3403,11/11/19,8830,326556,732082,388966,1.27E+13,1.02E+20,0.166,3573655851,0.799,0.311,9.536,21505,186.913,602617,14.353,1.543,AntPool
3599,5/25/20,8829,265750,904878,429701,1.51E+13,9.11E+19,0.0846,7327844815,3.069,1.646,11.52,36509,465.089,753026,14.66,10.578,extras/pool_name
2758,2/4/18,8826,173509,889806,268466,2.60E+12,2.10E+19,0.981,5499166432,5.663,3.142,8.09,49344,968.684,595294,18.288,4.769,F2Pool
2834,4/21/18,8820,193816,629873,294358,3.84E+12,2.74E+19,0.649,5389679736,1.293,0.199,9.057,41560,474.105,509176,19.033,1.41,F2Pool
2804,3/22/18,8809,185044,685224,273747,3.46E+12,2.49E+19,0.641,5126740198,1.32,0.183,10.07,52455,600.534,472231,18.658,1.529,Foundry USA
3511,2/27/20,8803,338634,768147,457420,1.55E+13,1.12E+20,0.147,6640945724,0.71,0.34,9.796,26044,324.974,684559,14.95,1.464,F2Pool
3405,11/13/19,8797,318810,845720,421541,1.27E+13,7.84E+19,0.193,4917321117,0.947,0.443,10.667,36683,274.844,667964,14.328,1.994,MARA Pool
3516,3/3/20,8791,342171,787057,464555,1.55E+13,1.18E+20,0.145,4724034705,0.637,0.278,9.412,20336,324.864,717102,14.986,1.281,Binance Pool
2796,3/14/18,8789,190898,642697,267448,3.29E+12,2.44E+19,0.662,5976819161,1.705,0.443,10,47758,772.744,467570,18.551,2.018,Foundry USA
3578,5/4/20,8780,325940,776603,500484,1.60E+13,1.27E+20,0.141,5236732505,1.806,1.059,9.114,24572,395.268,741037,14.814,3.285,ViaBTC
3468,1/15/20,8778,332507,758395,450729,1.48E+13,1.13E+20,0.149,12047345887,0.828,0.326,9.536,42231,294.873,632549,15.164,1.635,AntPool
3575,5/1/20,8777,340433,905003,519629,1.60E+13,1.11E+20,0.148,5715430837,2.841,1.738,10.213,27705,418.28,785016,14.799,5.887,F2Pool
3404,11/12/19,8776,301247,743228,382258,1.27E+13,9.75E+19,0.154,4154122105,0.835,0.342,10.667,29661,233.971,558263,14.341,1.67,Foundry USA
3586,5/12/20,8775,345069,904642,512215,1.61E+13,1.18E+20,0.0761,7347762137,2.792,1.797,9.863,30633,440.422,812978,14.765,10.746,Foundry USA
3235,5/27/19,8767,399417,881217,484876,6.70E+12,5.46E+19,0.365,7394588350,4.155,2.533,8.623,26578,412.716,772990,15.594,8.318,F2Pool
3517,3/4/20,8767,358578,922114,489140,1.55E+13,1.23E+20,0.151,5316041656,0.593,0.267,8.623,24870,303.025,755658,14.909,1.149,Foundry USA
3515,3/2/20,8754,342672,776622,472265,1.55E+13,1.24E+20,0.133,4954319962,0.586,0.247,9.664,20998,331.607,687474,14.987,1.217,Luxor
2756,2/2/18,8748,235750,941242,394122,2.60E+12,2.18E+19,0.952,10139478866,10.181,3.921,8.571,54128,1757,763496,18.273,11.562,Foundry USA
3480,1/27/20,8744,279111,733173,430805,1.48E+13,1.04E+20,0.137,4607391671,0.62,0.253,11.163,47226,331.444,574999,15.105,1.213,Foundry USA
3406,11/14/19,8728,349854,692542,410233,1.27E+13,1.01E+20,0.184,4766844514,0.739,0.312,8.521,30307,189.326,624544,14.329,1.384,AntPool
2854,5/11/18,8725,213497,838274,350948,4.14E+12,2.72E+19,0.522,8243192700,1.578,0.411,11.339,53404,614.938,479834,19.115,2.376,ViaBTC
3236,5/28/19,8720,390263,903698,517349,6.70E+12,5.51E+19,0.355,7512217745,4.311,2.645,8.78,29550,399.368,807558,15.592,8.606,Foundry USA
3254,6/15/19,8713,330808,906314,436725,7.41E+12,6.18E+19,0.269,6468986211,2.073,1.115,9.863,26845,240.029,758530,15.66,4.136,ViaBTC
3512,2/28/20,8706,368432,747640,489743,1.55E+13,1.17E+20,0.148,6545847824,0.621,0.293,9.114,23947,279.942,701052,14.969,1.314,F2Pool
3585,5/11/20,8704,305682,875623,479368,1.61E+13,1.38E+20,0.12,6134372405,2.523,1.495,9.172,33130,446.961,848483,14.742,4.663,AntPool
3584,5/10/20,8697,286619,908005,420607,1.61E+13,1.25E+20,0.152,4327274265,1.92,1.147,8.471,24364,404.483,720425,14.764,2.893,Foundry USA
3469,1/16/20,8693,325788,683079,431336,1.48E+13,1.07E+20,0.163,4651778386,0.636,0.292,9.057,23647,226.289,654641,15.134,1.186,MARA Pool
3475,1/22/20,8693,328430,748709,424690,1.48E+13,1.07E+20,0.16,4982958619,0.574,0.251,9.231,23704,211.241,652035,15.106,1.1,F2Pool
2764,2/10/18,8691,181640,947466,287700,2.87E+12,1.90E+19,0.858,11338600258,4.248,2.288,10.07,73500,838.92,593126,18.502,4.736,Foundry USA
3513,2/29/20,8690,307388,688853,409645,1.55E+13,1.18E+20,0.129,3563548358,0.523,0.249,10.36,18042,234.466,588646,14.981,1.054,AntPool
3474,1/21/20,8672,315057,692032,421853,1.48E+13,1.18E+20,0.142,4263372755,0.565,0.236,9.412,18337,251.916,620998,15.124,1.062,F2Pool
3473,1/20/20,8670,313509,698612,410326,1.48E+13,1.12E+20,0.149,5705309769,0.491,0.172,9.474,27032,232.141,615528,15.124,0.926,unknown
2766,2/12/18,8662,186752,941726,294180,2.87E+12,2.23E+19,0.834,11904575766,3.245,1.762,8.675,77583,751.385,781308,18.589,3.265,ViaBTC
3241,6/2/19,8662,300872,895994,359126,7.46E+12,4.99E+19,0.305,4893614617,3.41,2.347,10.992,34928,268.863,586139,15.619,6.748,Binance Pool
2767,2/13/18,8657,182820,946217,282146,2.87E+12,2.41E+19,0.761,8730307130,3.247,1.677,8.78,62204,826.634,729810,18.579,3.24,ViaBTC
2858,5/15/18,8652,214633,640992,332794,4.14E+12,3.07E+19,0.525,5722270483,1.525,0.526,9.863,42938,544.33,525512,19.03,2.032,F2Pool
3237,5/29/19,8648,404981,870567,514682,6.70E+12,5.60E+19,0.365,9218497800,3.995,2.345,8.276,30416,386.937,767434,15.61,7.923,Foundry USA
2802,3/20/18,8641,195041,672613,273697,3.46E+12,2.41E+19,0.58,5122699450,1.39,0.251,11.339,49348,654.872,453198,18.639,1.94,unknown
3238,5/30/19,8636,376714,862583,489449,6.75E+12,5.70E+19,0.331,7873404835,4.314,2.591,9,28033,456.609,733627,15.612,8.604,ViaBTC
3467,1/14/20,8605,346808,884701,477976,1.38E+13,9.38E+19,0.169,7605764835,0.651,0.263,9.931,30967,349.34,705324,15.177,1.427,ViaBTC
3407,11/15/19,8601,324987,855237,443805,1.27E+13,1.07E+20,0.162,5768478919,0.785,0.295,9.114,33835,300.979,634708,14.36,1.48,Binance Pool
2857,5/14/18,8595,209565,725577,324113,4.14E+12,2.68E+19,0.541,7665702617,1.446,0.425,10.909,52224,544.796,530706,19.059,2.093,Foundry USA
3521,3/8/20,8589,302536,604308,391267,1.55E+13,1.24E+20,0.137,3553993081,0.458,0.193,9.114,17471,192.65,551633,14.912,0.811,Luxor
3409,11/17/19,8584,264216,852297,328748,1.27E+13,9.20E+19,0.182,2651062995,0.685,0.179,9.351,20474,172.401,522258,14.359,1.084,Poolin
3514,3/1/20,8572,309672,582150,385534,1.55E+13,1.20E+20,0.158,3056262659,0.4,0.132,8.136,15620,158.893,597235,14.971,0.649,AntPool
2856,5/13/18,8566,158646,471471,252832,4.14E+12,3.32E+19,0.484,3927177470,1.26,0.287,9.73,44831,471.117,355156,19.117,1.247,Foundry USA
2807,3/25/18,8559,135139,468670,205883,3.46E+12,2.49E+19,0.588,5388802943,1.281,0.174,10.667,51497,541.385,347133,18.821,1.186,Binance Pool
3371,10/10/19,8556,344886,683317,412487,1.29E+13,9.33E+19,0.189,4765805789,0.83,0.369,8.889,20028,232.614,648261,14.541,1.627,F2Pool
2805,3/23/18,8549,179685,684516,280964,3.46E+12,2.27E+19,0.635,5087895281,1.249,0.178,10.827,46561,614.157,501861,18.706,1.556,MARA Pool
3240,6/1/19,8541,331941,916213,436233,7.46E+12,5.12E+19,0.341,5516623822,4.102,2.347,9.536,30826,316.637,780752,15.614,7.792,Foundry USA
3242,6/3/19,8537,293890,882347,420763,7.46E+12,4.70E+19,0.306,10462305671,5.781,3.437,12.101,49174,534.039,613329,15.601,11.803,AntPool
3408,11/16/19,8524,283320,922691,372938,1.27E+13,9.37E+19,0.17,3149156270,0.69,0.232,9.73,20856,215.325,595680,14.36,1.225,Foundry USA
2864,5/21/18,8476,202490,628185,307425,4.14E+12,2.94E+19,0.574,4782127551,1.31,0.174,9.172,34936,505.096,503074,19.067,1.571,Foundry USA
3476,1/23/20,8469,329759,714200,421525,1.48E+13,1.19E+20,0.143,5751816119,0.54,0.228,9.057,22226,204.096,658331,15.103,1.048,Foundry USA
3479,1/26/20,8466,261104,568189,365856,1.48E+13,1.13E+20,0.134,3252311166,0.343,0.096,10.07,18671,155.778,499446,15.101,0.588,Foundry USA
3356,9/25/19,8465,347591,799184,437349,1.19E+13,9.50E+19,0.178,7189945341,1.043,0.453,9.231,40065,316.42,717789,14.527,2.15,Foundry USA
2687,11/25/17,8464,336533,966995,481219,1.35E+12,1.03E+19,1.766,18655976997,4.92,2.84,9.231,72885,535.155,838662,17.085,9.122,Foundry USA
2833,4/20/18,8464,207640,675144,340884,3.84E+12,3.21E+19,0.459,8742464048,1.183,0.172,10.511,62102,566.932,554891,19.022,1.668,AntPool
3410,11/18/19,8460,304531,742222,395146,1.27E+13,1.03E+20,0.146,4683404510,0.773,0.302,10.286,36919,257.219,587977,14.394,1.566,F2Pool
2855,5/12/18,8438,181889,521640,299097,4.14E+12,3.07E+19,0.574,5048604031,1.317,0.339,8.727,46465,390.922,506943,19.115,1.359,unknown
3477,1/24/20,8410,313735,730092,424754,1.48E+13,1.16E+20,0.139,4406641300,0.432,0.14,9.474,18523,223.089,644667,15.101,0.841,Foundry USA
3372,10/11/19,8404,345269,721762,412481,1.30E+13,1.10E+20,0.151,4365688253,0.677,0.265,9.231,18180,202.936,593749,14.531,1.408,F2Pool
2863,5/20/18,8378,158519,457227,253673,4.14E+12,3.22E+19,0.475,3775503867,1.321,0.172,10,38641,501.435,384590,19.068,1.371,SBI Crypto
3362,10/1/19,8365,337101,791216,437480,1.28E+13,8.68E+19,0.177,4755108811,1.198,0.703,10.07,28709,282.148,675392,14.558,2.63,Foundry USA
3374,10/13/19,8364,279345,578445,309583,1.30E+13,9.45E+19,0.159,2492298266,0.484,0.12,10.141,12580,120.094,470895,14.535,0.904,F2Pool
2801,3/19/18,8360,191373,564826,273823,3.46E+12,2.70E+19,0.609,5468177144,1.345,0.156,9.29,58157,645.288,483206,18.627,1.565,AntPool
3239,5/31/19,8356,298880,900471,459470,7.46E+12,5.10E+19,0.273,14611646946,5.732,3.351,12.308,57258,700.561,657457,15.594,12.3,Foundry USA
3478,1/25/20,8349,285420,591392,365568,1.48E+13,1.15E+20,0.15,2923336571,0.333,0.107,8.78,14230,150.289,524444,15.101,0.553,ViaBTC
3373,10/12/19,8340,301560,687895,337840,1.30E+13,9.17E+19,0.153,2869783477,0.574,0.203,10.827,13148,137.812,519691,14.536,1.234,unknown
3370,10/9/19,8339,310911,746120,390038,1.28E+13,9.54E+19,0.153,4877278305,0.814,0.366,10.435,23826,274.262,572744,14.525,1.731,AntPool
3253,6/14/19,8337,364214,885279,545441,7.41E+12,5.79E+19,0.321,7182356382,2.7,1.351,8.521,28965,314.554,789720,15.667,5.29,Foundry USA
2798,3/16/18,8327,186823,584100,287609,3.29E+12,2.44E+19,0.675,5026802553,1.322,0.207,9.231,46589,679.697,489203,18.562,1.499,AntPool
3375,10/14/19,8319,304331,755043,383948,1.30E+13,8.49E+19,0.168,5488675881,0.651,0.227,10.667,22402,221.926,563087,14.562,1.393,F2Pool
2763,2/9/18,8300,177725,957285,305351,2.87E+12,1.84E+19,0.803,7623426850,4.127,2.405,10.667,53355,847.748,689413,18.521,4.979,SBI Crypto
2860,5/17/18,8297,192551,719166,297192,4.14E+12,3.42E+19,0.413,6279155018,2.329,0.502,10.909,45239,548.86,518713,18.991,3.174,ViaBTC
2859,5/16/18,8291,208284,501526,318685,4.14E+12,3.32E+19,0.566,6249684446,1.288,0.379,8.045,45788,482.376,513409,18.959,1.427,F2Pool
3376,10/15/19,8274,339545,713258,405404,1.30E+13,9.36E+19,0.171,3842231080,0.631,0.249,9.412,18146,206.737,630058,14.579,1.336,Foundry USA
3461,1/8/20,8273,317877,761004,431084,1.38E+13,1.15E+20,0.13,4617323319,0.802,0.355,10.141,23409,348.113,619874,15.204,1.708,unknown
2862,5/19/18,8266,173120,478420,264757,4.14E+12,3.09E+19,0.524,3578390075,1.5,0.321,9.351,35778,422.93,423103,19.073,1.608,Foundry USA
3363,10/2/19,8265,326409,698116,411674,1.28E+13,9.48E+19,0.165,3633263709,0.942,0.542,9.73,21364,216.615,621924,14.533,1.972,SBI Crypto
2865,5/22/18,8261,203186,566484,306102,4.14E+12,3.45E+19,0.458,4604089622,1.078,0.212,9.536,37573,474.641,476934,19.085,1.387,ViaBTC
3357,9/26/19,8260,355604,697999,423844,1.20E+13,1.02E+20,0.176,5107400453,0.758,0.292,8.421,26199,205.338,647024,14.536,1.505,Foundry USA
2762,2/8/18,8256,173158,944714,264306,2.87E+12,2.10E+19,0.677,8069714475,4.195,2.377,10.992,55780,717.741,651284,18.292,5.103,Foundry USA
3364,10/3/19,8255,326367,708758,402109,1.28E+13,9.22E+19,0.168,4387819172,0.958,0.501,9.796,20379,207.261,612494,14.535,2.021,Foundry USA
2929,7/25/18,8254,250031,804711,366994,5.18E+12,4.23E+19,0.437,5459190920,0.889,0.166,8.136,33141,402.597,644234,19.105,1.203,unknown
2832,4/19/18,8242,213345,520125,337332,3.84E+12,3.21E+19,0.579,8060162890,1.069,0.153,8.09,50822,561.15,512770,19.091,1.229,Foundry USA
2828,4/15/18,8241,173868,724206,269983,3.84E+12,2.76E+19,0.615,4243813117,1.152,0.251,8.834,35502,470.289,462054,19.058,1.18,Foundry USA
2808,3/26/18,8236,187700,603813,272766,3.46E+12,2.49E+19,0.628,6114350902,1.184,0.157,9.6,73572,627.224,474697,18.803,1.42,Foundry USA
3382,10/21/19,8235,351632,731707,420744,1.30E+13,1.01E+20,0.163,3642688098,0.483,0.0727,9.057,21003,184.763,640284,14.524,1.028,Foundry USA
2765,2/11/18,8234,147057,946795,248844,2.87E+12,2.28E+19,0.704,9168379767,3.469,2.059,9.536,78200,543.462,730277,18.516,3.182,ViaBTC
3369,10/8/19,8214,336192,687268,401689,1.28E+13,1.02E+20,0.165,4293978021,0.676,0.211,8.889,20797,209.847,627364,14.527,1.348,MARA Pool
3383,10/22/19,8209,341295,690574,416410,1.30E+13,1.08E+20,0.162,3895959646,0.534,0.11,8.521,27399,184.163,641122,14.536,1.041,Foundry USA
2684,11/22/17,8206,311885,967813,468426,1.36E+12,1.14E+19,1.516,20712584854,6.746,3.053,9.73,92243,646.886,744622,17.133,12.178,Foundry USA
2933,7/29/18,8206,168237,416568,258120,5.60E+12,4.78E+19,0.367,3583323607,0.764,0.101,8.471,32136,312.776,403083,18.918,0.733,AntPool
3411,11/19/19,8204,327483,830725,428592,1.27E+13,8.30E+19,0.185,4124530460,0.861,0.392,9.796,23925,281.525,732887,14.491,1.837,F2Pool
2930,7/26/18,8199,231514,621427,336121,5.18E+12,4.46E+19,0.383,4693673811,0.846,0.133,8.727,31121,396.228,510977,19.078,1.145,Foundry USA
3573,4/29/20,8198,331256,860861,524645,1.60E+13,1.20E+20,0.128,8528863937,1.28,0.608,9.931,44434,448.943,751831,14.749,2.776,unknown
2685,11/23/17,8184,352050,961757,519374,1.36E+12,9.94E+18,1.836,22030065158,6.182,3.058,9.172,79155,593.193,835255,17.058,11.938,AntPool
2932,7/28/18,8180,188093,594438,277322,5.18E+12,4.12E+19,0.363,3461526730,0.728,0.11,9.931,28564,324.582,462708,19.068,0.916,Foundry USA
2683,11/21/17,8178,370918,962086,517808,1.36E+12,1.21E+19,1.674,24454312231,6.841,3.003,8.324,80142,509.619,844422,17.198,12.554,Foundry USA
3412,11/20/19,8176,320944,745202,402679,1.27E+13,9.49E+19,0.155,3425383536,0.697,0.304,10.141,20350,203.843,601482,14.582,1.519,F2Pool
3365,10/4/19,8173,337075,734079,411482,1.28E+13,9.11E+19,0.167,4199281838,0.674,0.257,9.796,17423,170.978,641998,14.528,1.491,ViaBTC
3359,9/28/19,8171,314274,619630,362172,1.28E+13,9.13E+19,0.18,3560386937,0.602,0.232,9.057,17456,122.839,562853,14.549,1.153,F2Pool
2686,11/24/17,8168,305586,956760,486976,1.36E+12,1.07E+19,1.6,18383739494,6.242,2.954,9.664,71526,568.98,792418,17.037,11.147,Foundry USA
3252,6/13/19,8153,364222,909725,521660,7.46E+12,5.24E+19,0.311,7068163476,2.45,1.314,9.536,27451,345.712,762388,15.652,5.483,BTC.com
3466,1/13/20,8151,291454,696517,391948,1.38E+13,1.05E+20,0.14,3989909384,0.493,0.177,10.07,19234,262.72,570300,15.164,0.977,ViaBTC
3465,1/12/20,8146,282985,578905,342527,1.38E+13,1.10E+20,0.14,2877762316,0.418,0.126,9.536,14388,169.945,477053,15.172,0.764,ViaBTC
2934,7/30/18,8142,230790,727266,338738,5.95E+12,3.99E+19,0.347,4872161349,0.867,0.144,10.746,30804,410.598,525741,18.909,1.447,F2Pool
3366,10/5/19,8129,326525,606572,363723,1.28E+13,1.02E+20,0.158,2888167170,0.477,0.122,9.114,12394,117.803,566242,14.528,0.961,ViaBTC
2797,3/15/18,8124,206042,660821,292578,3.29E+12,2.32E+19,0.642,6796887348,1.445,0.218,10,76767,750.151,494451,18.527,1.997,ViaBTC
3464,1/11/20,8120,308907,596397,393287,1.38E+13,1.07E+20,0.156,3333911659,0.483,0.193,8.834,15612,178.464,553800,15.184,0.895,Foundry USA
2861,5/18/18,8115,211348,696083,345068,4.14E+12,2.69E+19,0.58,6225385948,2.693,1.169,9.73,43048,500.629,604525,19.108,3.655,unknown
2682,11/20/17,8112,336029,945862,502165,1.36E+12,1.07E+19,1.903,24213945824,7.943,3.152,8.229,101924,646.748,836952,17.323,13.08,Foundry USA
2829,4/16/18,8104,195965,742922,290607,3.84E+12,2.88E+19,0.503,8278794756,1.064,0.181,10.213,56247,551.331,516625,18.978,1.44,unknown
3234,5/26/19,8103,373907,795489,358179,6.70E+12,5.05E+19,0.346,4490767691,2.078,0.997,8.727,18383,119.64,565068,15.564,4.444,F2Pool
2799,3/17/18,8099,154347,433442,225372,3.29E+12,2.57E+19,0.594,3358978511,1.129,0.151,9.664,127447,574.212,367021,18.563,1.143,extras/pool_name
3360,9/29/19,8092,285406,632524,328896,1.28E+13,9.03E+19,0.154,3329309436,0.595,0.21,10.588,17151,135.175,487009,14.554,1.221,ViaBTC
2831,4/18/18,8085,200580,556115,310360,3.84E+12,3.05E+19,0.536,7020070323,1.02,0.151,9,44889,527.226,483004,18.93,1.251,Foundry USA
3361,9/30/19,8081,311266,807855,410915,1.28E+13,8.69E+19,0.155,4941791930,1.065,0.569,11.077,28709,320.559,620880,14.558,2.463,unknown
3377,10/16/19,8081,338330,774990,414529,1.30E+13,9.05E+19,0.162,5727601621,0.696,0.256,10.07,24911,218.393,633943,14.576,1.605,Foundry USA
2830,4/17/18,8075,201658,616977,302472,3.84E+12,2.91E+19,0.568,6990022334,1.047,0.157,8.889,47580,534.091,516858,18.958,1.275,Foundry USA
2928,7/24/18,8068,259199,750648,373162,5.18E+12,4.28E+19,0.38,6085274643,0.923,0.156,9.057,36811,454.029,578233,19.107,1.47,Foundry USA
3368,10/7/19,8068,328648,712409,404243,1.28E+13,9.76E+19,0.162,3948772739,0.607,0.145,9.29,17092,219.736,614170,14.526,1.26,AntPool
3378,10/17/19,8057,333955,739596,403269,1.30E+13,9.85E+19,0.155,5253931408,0.613,0.241,9.6,24601,203.546,643060,14.561,1.337,ViaBTC
3358,9/27/19,8054,303771,780538,404732,1.28E+13,9.67E+19,0.14,5088369335,0.908,0.373,10.909,24412,277.496,577559,14.534,2.035,F2Pool
3223,5/15/19,8047,368752,909571,525079,6.70E+12,4.99E+19,0.331,9033704419,4.198,2.323,9.664,47286,504.714,726829,15.261,9.365,Foundry USA
3381,10/20/19,8030,289650,596889,334044,1.30E+13,8.81E+19,0.168,2319075922,0.439,0.115,9.863,20732,129.204,497265,14.578,0.861,Foundry USA
2827,4/14/18,8025,161706,687813,244735,3.80E+12,3.03E+19,0.46,3559279232,1.179,0.308,10.511,34312,448.536,409997,19.064,1.37,AntPool
3233,5/25/19,8023,338258,889359,385862,6.70E+12,5.17E+19,0.291,4347286724,3.039,1.913,10.286,18773,214.542,603488,15.443,6.824,AntPool
2931,7/27/18,8021,229230,741179,354144,5.18E+12,4.05E+19,0.418,4654842578,0.725,0.0955,8.623,34074,389.042,604287,19.057,0.984,Foundry USA
3251,6/12/19,8018,328333,911134,468998,7.46E+12,5.22E+19,0.268,7652581595,2.659,1.466,10.992,31984,367.228,710869,15.666,6.236,MARA Pool
3367,10/6/19,8016,277464,568854,324611,1.28E+13,9.38E+19,0.161,3079541982,0.476,0.113,9.664,15420,142.601,487979,14.527,0.878,ViaBTC
2826,4/13/18,8008,217117,599442,333113,3.51E+12,2.77E+19,0.608,6737109397,1.341,0.415,8.727,45932,543.816,530298,19.058,1.734,AntPool
3224,5/16/19,7992,374916,906968,527445,6.70E+12,5.02E+19,0.327,8345283791,4.871,2.881,9.863,30625,509.252,772040,15.255,11.132,Foundry USA
3222,5/14/19,7988,367218,894692,514668,6.70E+12,5.45E+19,0.298,8270841757,2.886,1.657,9.474,35904,487.385,758599,15.38,6.53,F2Pool
2809,3/27/18,7983,186913,625408,271228,3.46E+12,2.56E+19,0.601,5862627010,1.175,0.155,9.474,45746,537.295,503427,18.865,1.428,Poolin
3379,10/18/19,7980,339230,668641,398677,1.30E+13,1.03E+20,0.158,4391359260,0.587,0.24,9,23984,173.724,610609,14.581,1.232,Foundry USA
3380,10/19/19,7979,304594,694874,366344,1.30E+13,9.65E+19,0.148,2359380872,0.48,0.182,10.141,22145,138.697,562807,14.578,1.021,Foundry USA
3232,5/24/19,7975,373729,886810,497942,6.70E+12,5.03E+19,0.333,6930779483,4.095,2.46,9.412,29232,379.42,726478,15.437,9.122,Foundry USA
3523,3/10/20,7957,329566,852105,467972,1.66E+13,1.18E+20,0.113,5873729738,0.675,0.312,10.909,25927,363.092,710182,14.934,1.666,Foundry USA
3460,1/7/20,7953,343903,674910,442569,1.38E+13,1.05E+20,0.168,4244004408,0.591,0.205,8.182,18145,264.859,649639,15.193,1.149,ViaBTC
3462,1/9/20,7943,321900,743577,423158,1.38E+13,1.00E+20,0.158,7532014275,0.735,0.341,9.172,29799,277.042,689922,15.188,1.496,Foundry USA
2810,3/28/18,7940,177386,603242,258297,3.46E+12,2.57E+19,0.529,5381192498,1.078,0.16,10.667,52119,558.704,452296,18.877,1.409,F2Pool
3229,5/21/19,7938,380736,911556,505421,6.70E+12,5.00E+19,0.336,6100990360,4.222,2.501,9.412,22264,385.332,791236,15.351,9.577,unknown
3247,6/8/19,7938,294245,846515,357914,7.46E+12,5.15E+19,0.25,4815248503,1.979,1,11.613,25073,208.051,549985,15.717,4.521,Foundry USA
3246,6/7/19,7934,349853,847486,466838,7.46E+12,5.64E+19,0.293,6047727104,2.415,1.207,9.114,32942,297.896,733211,15.718,5.118,Braiins Pool
2761,2/7/18,7933,213578,945530,326879,2.87E+12,2.06E+19,0.727,7637070812,4.588,2.517,10.213,43026,931.117,694798,18.426,6.553,unknown
3463,1/10/20,7933,330585,780409,445323,1.38E+13,1.07E+20,0.141,5256518379,0.781,0.336,9.664,21721,303.374,677502,15.185,1.719,SBI Crypto
2935,7/31/18,7929,242830,765612,350430,5.95E+12,4.30E+19,0.343,4978443566,0.835,0.149,9.796,28411,400.315,549499,18.969,1.374,F2Pool
3413,11/21/19,7924,323817,846205,437645,1.28E+13,8.67E+19,0.16,4738857382,0.902,0.36,10.511,39515,301.891,697687,14.671,2.108,AntPool
3227,5/19/19,7912,346696,871045,384485,6.70E+12,5.26E+19,0.325,5030895135,2.868,1.777,8.834,20330,215.522,631633,15.331,5.812,AntPool
3228,5/20/19,7900,381421,868940,466864,6.70E+12,5.77E+19,0.301,6046790620,3.854,2.29,8.944,25251,376.41,720988,15.346,8.468,Foundry USA
3522,3/9/20,7886,348061,792840,475986,1.61E+13,1.19E+20,0.126,6609337094,0.58,0.251,9.6,27754,339.916,690871,14.944,1.348,F2Pool
3230,5/22/19,7884,394720,893892,490134,6.70E+12,5.19E+19,0.344,6505913833,3.53,2.172,8.623,23386,331.248,783448,15.3,7.809,Foundry USA
