,Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,extras/pool_name
3919,4/10/21,59866,298929,881319,505202,2.31E+13,1.86E+20,0.344,29236257341,18.022,8.212,9.172,308410,799.178,1032385,14.359,8.404,AntPool
4140,11/17/21,59850,290241,732291,535018,2.27E+13,1.70E+20,0.332,80681808603,2.777,0.657,9.664,1274281,754.404,886183,14.811,1.426,Foundry USA
3920,4/11/21,59794,253304,863582,431628,2.31E+13,1.71E+20,0.34,19458041566,14.868,6.457,9.931,323171,779.714,915759,14.342,6.502,unknown
4107,10/15/21,59735,297605,751697,575955,1.99E+13,1.41E+20,0.383,60998131685,4.072,1.376,10.213,772432,900.812,890834,14.718,2.251,Binance Pool
4119,10/27/21,59558,291957,635704,546046,2.01E+13,1.47E+20,0.402,43990432728,2.559,0.6,9.172,595560,778.776,843818,14.579,1.263,AntPool
3911,4/2/21,59266,305648,884061,558303,2.31E+13,1.62E+20,0.353,30385803529,17.337,8.719,10.286,268420,1003,937863,14.34,9.275,F2Pool
4144,11/21/21,59111,222817,618136,433492,2.27E+13,1.54E+20,0.321,19316487199,2.449,0.506,10.909,950976,628.582,708518,14.717,1.107,F2Pool
4141,11/18/21,59049,293723,689806,552554,2.27E+13,1.64E+20,0.328,63638641827,2.365,0.595,10,1105959,777.006,817116,14.674,1.291,Binance Pool
3912,4/3/21,58933,281586,884107,480392,2.31E+13,1.56E+20,0.341,21242591514,17.568,8.787,10.992,280926,866.506,826749,14.319,9.303,F2Pool
3910,4/1/21,58868,311794,886005,561167,2.19E+13,1.73E+20,0.338,32626194402,16.992,8.579,9.931,257955,998.433,1002317,14.33,9.037,F2Pool
3898,3/20/21,58776,286794,869455,492985,2.19E+13,1.67E+20,0.369,19001728770,17.289,7.307,9.351,237133,786.308,974431,14.318,8.062,AntPool
